id,timestamp,url,tweet,replies,retweets,quotes,likes
1315784310016761857,2020-10-12 22:40,https://twitter.com/JoeBiden/status/1315784310016761857,"Today marks 22 years since Matthew Shepard passed away after a brutal anti-gay hate crime. Over two decades later, violence against LGBTQ+ Americans is at an all-time high. As president, I'll strengthen our hate crimes laws and make clear that bigotry has no place in America.",3748,25786,1216,154293
1315768965281447936,2020-10-12 21:39,https://twitter.com/JoeBiden/status/1315768965281447936,"There's no question: we are neck and neck in Ohio — and with early voting underway and only 22 days until Election Day, there's no time to waste. Join us live from Cincinnati as we get out the vote: https://t.co/oMwv9s2sLE",1707,3199,181,13185
1315768958742491136,2020-10-12 21:39,https://twitter.com/JoeBiden/status/1315768958742491136,"Donald Trump is running TV ads taking Dr. Fauci out of context and without his permission.

So, here’s a message from the President in his own words. https://t.co/WCYbIfrQLR",9025,63402,8022,209687
1315745051515908096,2020-10-12 20:04,https://twitter.com/JoeBiden/status/1315745051515908096,"The longer Donald Trump is president, the more reckless he gets.",18560,41567,3107,365241
1315719382182526976,2020-10-12 18:22,https://twitter.com/JoeBiden/status/1315719382182526976,I know Americans aren’t looking for a handout. They just want a fair chance to get ahead — and I’ll work every day to make sure folks get that chance.,12568,17496,5195,131006
1315706973661265920,2020-10-12 17:32,https://twitter.com/JoeBiden/status/1315706973661265920,"I'm in Toledo, Ohio, to discuss my plans to build the economy back better for working families. Tune in. https://t.co/MXlsFdS3Xt",2297,3381,268,15972
1315691197998923795,2020-10-12 16:30,https://twitter.com/JoeBiden/status/1315691197998923795,"Georgia — you don’t have to wait until November 3rd to cast your ballot. Early voting begins today.

Head to https://t.co/RIJ1L4B5o9 to find all the info you need.",2036,5659,283,22192
1315678865268772865,2020-10-12 15:41,https://twitter.com/JoeBiden/status/1315678865268772865,"On this Indigenous People’s Day, we must both recognize the past that has brought us here, and commit to one another to write a new future of promise, partnership, and equal opportunity for the proud Tribal Nations of our country. https://t.co/7bOkPVCJc3",3117,7986,568,38819
1315657223004065792,2020-10-12 14:15,https://twitter.com/JoeBiden/status/1315657223004065792,"Health care is deeply personal to me. And I guarantee you that if I'm elected president, I will protect your family's health care as if it were my own. https://t.co/wmIpmg1EcT",5285,15300,917,75345
1315449605098799104,2020-10-12 00:30,https://twitter.com/JoeBiden/status/1315449605098799104,"From Seneca Falls to Selma to Stonewall, we’re at our best when the promise of America is available to all.",5520,12692,606,92218
1315437021570248704,2020-10-11 23:40,https://twitter.com/JoeBiden/status/1315437021570248704,"Brayden — you have heart, courage, and maturity beyond your years. You have unlimited potential — and I can't wait to see what your future holds. https://t.co/7t2mHOXNMa",3644,24847,3622,132467
1315423180257808385,2020-10-11 22:45,https://twitter.com/JoeBiden/status/1315423180257808385,"This election, you have the power to choose:

Hope over fear.
Truth over lies.
Unity over division.

Vote. https://t.co/eoxT07uII9",12568,11349,1517,61148
1315404306258903040,2020-10-11 21:30,https://twitter.com/JoeBiden/status/1315404306258903040,"I helped pull this country out of a recession before — and, as president, I’ll do it again.",37406,50638,6099,469781
1315389206991122432,2020-10-11 20:30,https://twitter.com/JoeBiden/status/1315389206991122432,"In January, I said President Trump was the worst possible leader to deal with a public health crisis. And everything we’ve been through in the months since has proven that to be true. https://t.co/twcy3Ql0Xc",3795,11604,611,42418
1315374108218064896,2020-10-11 19:30,https://twitter.com/JoeBiden/status/1315374108218064896,"When President Trump was told one thousand Americans were dying every day from COVID-19, he shrugged it off and said, ""it is what it is.""

It is what it is?

This president doesn't even pretend to care about the Americans he swore to serve. It's disgraceful.",8087,27183,1112,150721
1315343909346779136,2020-10-11 17:30,https://twitter.com/JoeBiden/status/1315343909346779136,"Today we join Polish-Americans in celebrating General Pulaski, whose heroism built the American cavalry and saved the life of George Washington. America will always stand with the Polish people against the common threats we face.",2524,6599,463,45930
1315333841767354368,2020-10-11 16:50,https://twitter.com/JoeBiden/status/1315333841767354368,"Today, let's all celebrate the one billion girls and young women around the world — and recommit to fight for their education, work, health, rights, and opportunities. A Biden-Harris administration will work to elevate their voices and ensure an equal future. #DayOfTheGirl",3080,13823,543,86188
1315321762524127240,2020-10-11 16:02,https://twitter.com/JoeBiden/status/1315321762524127240,"I want every member of the LGBTQ+ community to know you are loved and accepted just as you are — whether you've come out or not. I'll fight every day in the White House to create a country where you can live open, proud, and free — without fear. #NationalComingOutDay",8746,56892,4127,322631
1315311696022437888,2020-10-11 15:22,https://twitter.com/JoeBiden/status/1315311696022437888,There is no excuse for President Trump’s reckless behavior. https://t.co/ooUh6pxRDt,5366,25375,1416,85132
1315079668463284224,2020-10-11 00:00,https://twitter.com/JoeBiden/status/1315079668463284224,"One in five small businesses have closed.
More than 25 million Americans are on unemployment.
Millions are at risk of losing their homes.

But President Trump doesn’t seem to care. He only cares about how he and his wealthy friends are doing.",16246,18068,1885,91150
1315064572940877826,2020-10-10 23:00,https://twitter.com/JoeBiden/status/1315064572940877826,"America has to be about the possibilities of prosperity. 

Not just for the privileged few. But for the many — for all of us.",6213,12231,756,81442
1315046951440838656,2020-10-10 21:50,https://twitter.com/JoeBiden/status/1315046951440838656,"The fact is this pandemic has exposed the cracks in our already broken mental health care system.

We can and must do better.

As president, I’ll fight to achieve mental health parity, expand access to care, and wipe out the stigma. #WorldMentalHealthDay",3485,11040,459,64667
1315033249186414592,2020-10-10 20:55,https://twitter.com/JoeBiden/status/1315033249186414592,"I’m in Erie, Pennsylvania, to discuss my plans to build back better. Tune in. https://t.co/8NqGra1egn",3047,3477,266,18116
1315024302278955011,2020-10-10 20:20,https://twitter.com/JoeBiden/status/1315024302278955011,"We're eight months into this crisis, and this president still has no plan to rebuild our economy.

I do. I'll get America back to work — and build back better.

Here's how: https://t.co/XjiTnHDiUk",6127,6555,643,29770
1315011720709050368,2020-10-10 19:30,https://twitter.com/JoeBiden/status/1315011720709050368,"Let’s go vote, America.

https://t.co/eoxT07d7QB https://t.co/Nso0pXH7ER",16775,28381,4016,206168
1314985295180259329,2020-10-10 17:45,https://twitter.com/JoeBiden/status/1314985295180259329,We need a president who understands hardworking Americans — not one who looks down on them.,22924,33655,3473,290121
1314970950484594689,2020-10-10 16:48,https://twitter.com/JoeBiden/status/1314970950484594689,"What does building back better mean for you?

- Millions of new, good-paying jobs
- A $15 federal minimum wage
- Stronger benefits and fair workplaces
- An economy that works for everyone—not just the wealthy
- The choice to join a union

That's the future we can build together.",8969,10890,1127,56135
1314949308194729985,2020-10-10 15:22,https://twitter.com/JoeBiden/status/1314949308194729985,"If you're sick, struggling, or worried about how you're going to get through the day — know you are not alone.

We're all in this together. And together, we'll emerge stronger than before. https://t.co/ztiKctOcHW",2409,8050,547,31503
1314942513413672961,2020-10-10 14:55,https://twitter.com/JoeBiden/status/1314942513413672961,To all my fellow Delawareans — today is your last day to register to vote. Head to https://t.co/CMstw01RMW to get registered today.,1342,4145,130,17084
1314922380528095232,2020-10-10 13:35,https://twitter.com/JoeBiden/status/1314922380528095232,"Over 213,000 Americans have died from this virus — and the hard truth is it didn’t have to happen this way. https://t.co/27TL7PAhCi",3452,9041,505,34682
1314722312105590784,2020-10-10 00:20,https://twitter.com/JoeBiden/status/1314722312105590784,"You and I can change the course of history.

Vote: https://t.co/eoxT07uII9 https://t.co/r1GFkkUkyt",5676,8432,591,43475
1314714747762335746,2020-10-09 23:49,https://twitter.com/JoeBiden/status/1314714747762335746,"40,000 people a day are coming down with the coronavirus. What is the matter with this guy? https://t.co/N71KynIX2k",9478,43597,1756,193101
